lambda_color,start_clip_multi,end_clip_multi,clone_lambda_ssim,lambda_dist,lights_lr,final_lights_lr
1.00E-04,1.00E-04,1.00E-04,0.2,1.00E-04,5.00E-03,5.00E-03
1.00E-04,1.00E-04,5.00E-05,0.2,1.00E-04,5.00E-03,5.00E-03
1.00E-04,1.00E-04,1.00E-05,0.2,1.00E-04,5.00E-03,5.00E-03
1.00E-03,1.00E-04,1.00E-04,0.2,1.00E-04,5.00E-03,5.00E-03
1.00E-02,1.00E-04,1.00E-04,0.2,1.00E-04,5.00E-03,5.00E-03
5.00E-03,1.00E-04,1.00E-04,0.2,1.00E-04,5.00E-03,5.00E-03
5.00E-02,1.00E-04,1.00E-04,0.2,1.00E-04,5.00E-03,5.00E-03
1.00E-04,1.00E-04,1.00E-04,0.1,1.00E-04,5.00E-03,5.00E-03
1.00E-04,1.00E-04,1.00E-04,0.3,1.00E-04,5.00E-03,5.00E-03
1.00E-04,1.00E-04,1.00E-04,0.2,5.00E-05,5.00E-03,5.00E-03
1.00E-04,1.00E-04,1.00E-04,0.2,1.00E-05,5.00E-03,5.00E-03
1.00E-04,1.00E-04,1.00E-04,0.2,1.00E-04,1.00E-03,5.00E-03
1.00E-04,1.00E-04,1.00E-04,0.2,1.00E-04,1.00E-02,5.00E-03
1.00E-04,1.00E-04,1.00E-04,0.2,1.00E-04,5.00E-03,5.00E-04

