vertices_lr,final_vertices_lr,scale_multi,density_offset,num_iter,densify_start
8.00E-05,8.00E-05,0.5,-1,2000,2000
4.00E-04,4.00E-04,0.5,-1,2000,2000
2.00E-04,2.00E-04,0.5,-1,2000,2000
1.00E-04,1.00E-04,0.5,-1,2000,2000
8.00E-05,8.00E-05,0.5,-3,2000,2000
4.00E-04,4.00E-04,0.5,-3,2000,2000
2.00E-04,2.00E-04,0.5,-3,2000,2000
1.00E-04,1.00E-04,0.5,-3,2000,2000
8.00E-05,8.00E-05,1,-1,2000,2000
4.00E-04,4.00E-04,1,-1,2000,2000
2.00E-04,2.00E-04,1,-1,2000,2000
1.00E-04,1.00E-04,1,-1,2000,2000
8.00E-05,8.00E-05,1,-3,2000,2000
4.00E-04,4.00E-04,1,-3,2000,2000
2.00E-04,2.00E-04,1,-3,2000,2000
1.00E-04,1.00E-04,1,-3,2000,2000
8.00E-05,8.00E-05,2,-1,2000,2000
4.00E-04,4.00E-04,2,-1,2000,2000
2.00E-04,2.00E-04,2,-1,2000,2000
1.00E-04,1.00E-04,2,-1,2000,2000
8.00E-05,8.00E-05,2,-3,2000,2000
4.00E-04,4.00E-04,2,-3,2000,2000
2.00E-04,2.00E-04,2,-3,2000,2000
1.00E-04,1.00E-04,2,-3,2000,2000
8.00E-05,8.00E-05,0.25,-1,2000,2000
4.00E-04,4.00E-04,0.25,-1,2000,2000
2.00E-04,2.00E-04,0.25,-1,2000,2000
1.00E-04,1.00E-04,0.25,-1,2000,2000
8.00E-05,8.00E-05,0.25,-3,2000,2000
4.00E-04,4.00E-04,0.25,-3,2000,2000
2.00E-04,2.00E-04,0.25,-3,2000,2000
1.00E-04,1.00E-04,0.25,-3,2000,2000
