ladder_p,pre_multi,num_iter,densify_start
-0.10,125.00,2000,2000
-0.10,250.00,2000,2000
-0.10,500.00,2000,2000
-0.10,1000.00,2000,2000
-0.10,2000.00,2000,2000
-0.10,4000.00,2000,2000
-0.50,125.00,2000,2000
-0.50,250.00,2000,2000
-0.50,500.00,2000,2000
-0.50,1000.00,2000,2000
-0.50,2000.00,2000,2000
-0.50,4000.00,2000,2000
-1.00,125.00,2000,2000
-1.00,250.00,2000,2000
-1.00,500.00,2000,2000
-1.00,1000.00,2000,2000
-1.00,2000.00,2000,2000
-1.00,4000.00,2000,2000
-2.00,125.00,2000,2000
-2.00,250.00,2000,2000
-2.00,500.00,2000,2000
-2.00,1000.00,2000,2000
-2.00,2000.00,2000,2000
-2.00,4000.00,2000,2000
