clip_multi,vertices_lr,final_vertices_lr,cloning_interval,num_iter,num_densify_iter,densify_start
0.1,4.00E-04,4.00E-04,500,10000,8000,1500
0.1,2.00E-04,2.00E-04,500,10000,8000,1500
0.1,1.00E-04,1.00E-04,500,10000,8000,1500
0.1,8.00E-05,8.00E-05,500,10000,8000,1500
0.01,4.00E-04,4.00E-04,500,10000,8000,1500
0.01,2.00E-04,2.00E-04,500,10000,8000,1500
0.01,1.00E-04,1.00E-04,500,10000,8000,1500
0.01,8.00E-05,8.00E-05,500,10000,8000,1500
1.00E-03,4.00E-04,4.00E-04,500,10000,8000,1500
1.00E-03,2.00E-04,2.00E-04,500,10000,8000,1500
1.00E-03,1.00E-04,1.00E-04,500,10000,8000,1500
1.00E-03,8.00E-05,8.00E-05,500,10000,8000,1500
1.00E-04,4.00E-04,4.00E-04,500,10000,8000,1500
1.00E-04,2.00E-04,2.00E-04,500,10000,8000,1500
1.00E-04,1.00E-04,1.00E-04,500,10000,8000,1500
1.00E-04,8.00E-05,8.00E-05,500,10000,8000,1500
